Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759429805221,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,3.5714287757873535,3.5714287757873535,3.5714287757873535,6.896551609039307,3.5714287757873535,6.896551609039307,10,3.5714287757873535,13.793103218078613,3.5714287757873535,6.896551609039307,6.896551609039307,37320.38366699219,120509.82189941406,80727.84399414063,4224.371398925781,33403068416,8589930496,5730426880,0
200,1759429805222,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,3.5714287757873535,3.5714287757873535,3.5714287757873535,6.896551609039307,3.5714287757873535,6.896551609039307,10,3.5714287757873535,13.793103218078613,3.5714287757873535,6.896551609039307,6.896551609039307,37320.38366699219,120509.82189941406,80727.84637451172,4224.371398925781,33403068416,8589930496,5730426880,0
200,1759429805422,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,25,0,0,36.842105865478516,15.000000953674316,40,30.000001907348633,0,100,37320.708923339844,120517.42138671875,80735.16790771484,4224.371398925781,33403068416,8589930496,5791371264,0
200,1759429805622,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,100,13.636363983154297,0,10,31.57894515991211,100,100,0,95.23809814453125,37321.21905517578,120529.8716430664,80747.2308959961,4224.375671386719,33403068416,8589930496,5862273024,0
200,1759429805822,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,4.761904716491699,100,0,0,40,4.761904716491699,100,100,0,100,37321.80694580078,120542.25274658203,80759.18566894531,4224.375671386719,33403068416,8589930496,5890158592,0
200,1759429806022,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,10.526315689086914,0,100,70,26.3157901763916,4.761904716491699,23.809524536132813,10,85.71428680419922,95.23809814453125,5,65,37322.3857421875,120554.55187988281,80770.99200439453,4224.3995361328125,33403068416,8589930496,5931417600,0
200,1759429806222,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,15.000000953674316,9.523809432983398,100,47.619049072265625,50,21.052631378173828,5,45,95,90,0,95,37322.961669921875,120568.11297607422,80784.13635253906,4224.4041748046875,33403068416,8589930496,5991337984,0
200,1759429806422,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,100,100,50,90,15.789472579956055,0,100,0,0,0,37323.573974609375,120580.30334472656,80795.89154052734,4224.4041748046875,33403068416,8589930496,6001459200,0
200,1759429806622,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,100,90,30.000001907348633,95,0,0,95,5,0,0,37324.171447753906,120592.31475830078,80807.4853515625,4224.4041748046875,33403068416,8589930496,6008455168,0
200,1759429806822,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,45,0,100,100,5,52.6315803527832,0,0,55,25,0,50,37324.82208251953,120604.19494628906,80818.91064453125,4224.415222167969,33403068416,8589930496,6041251840,0
200,1759429807022,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,90,0,100,90,33.333335876464844,0,5,0,0,5,0,100,37325.42822265625,120615.93310546875,80830.22021484375,4224.426025390625,33403068416,8589930496,6080962560,0
200,1759429807222,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,100,0,95.23809814453125,100,30.000001907348633,10,0,0,0,0,4.761904716491699,100,37326.02764892578,120628.11114501953,80841.9712524414,4224.426025390625,33403068416,8589930496,6121312256,0
199,1759429807422,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,90,0,100,80,10.526315689086914,4.761904716491699,5,0,0,10,4.761904716491699,100,37326.64483642578,120639.21459960938,80852.60620117188,4224.460021972656,33403068416,8589930496,6162657280,0
199,1759429807622,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,100,10,100,100,25,5,10,5,0,5,0,95,37327.29766845703,120650.94305419922,80863.87756347656,4224.466796875,33403068416,8589930496,6205059072,0
200,1759429807823,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,100,0,100,100,5,0,0,0,0,15.000000953674316,0,100,37327.92364501953,120662.53723144531,80875.02270507813,4224.4852294921875,33403068416,8589930496,6216007680,0
200,1759429808023,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,100,0,100,100,5,0,5,0,0,5.263157844543457,4.761904716491699,100,37328.532775878906,120674.07354736328,80886.10412597656,4224.507995605469,33403068416,8589930496,6225874944,0
200,1759429808223,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,100,0,100,95,0,0,0,0,0,10,0,100,37329.19708251953,120685.63586425781,80897.20086669922,4224.52001953125,33403068416,8589930496,6235754496,0
200,1759429808423,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,100,0,100,100,0,0,0,0,0,15.000000953674316,0,95,37329.74951171875,120697.16174316406,80908.27111816406,4224.52001953125,33403068416,8589930496,6244675584,0
200,1759429808623,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,60.000003814697266,5.263157844543457,100,85,25,9.523809432983398,9.523809432983398,0,9.523809432983398,28.571430206298828,0,84.21052551269531,37330.25811767578,120708.05517578125,80918.77221679688,4224.523864746094,33403068416,8589930496,6253780992,0
200,1759429808823,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,4.761904716491699,95.23809814453125,25,55,0,0,20,0,15.000000953674316,4.761904716491699,45,37330.69274902344,120715.4458618164,80925.79461669922,4224.535949707031,33403068416,8589930496,6257369088,0
200,1759429809023,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,100,100,100,0,4.761904716491699,5,0,20,0,100,37331.3134765625,120724.38665771484,80934.28930664063,4224.5457763671875,33403068416,8589930496,6262587392,0
200,1759429809223,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,55,100,100,5,0,0,0,4.761904716491699,65,0,100,37331.88049316406,120734.2066040039,80943.69134521484,4224.551696777344,33403068416,8589930496,6270959616,0
200,1759429809423,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,100,95,21.052631378173828,5,0,5.263157844543457,0,100,0,100,37332.51550292969,120745.67266845703,80954.72583007813,4224.551696777344,33403068416,8589930496,6271512576,0
200,1759429809623,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,4.761904716491699,0,100,0,15.000000953674316,5,0,95.23809814453125,0,95.23809814453125,0,100,37333.13641357422,120756.88250732422,80965.50085449219,4224.551696777344,33403068416,8589930496,6279585792,0
200,1759429809823,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,100,45,20,0,0,60.000003814697266,4.761904716491699,100,0,100,37333.76629638672,120768.79821777344,80976.97619628906,4224.562683105469,33403068416,8589930496,6279770112,0
200,1759429810023,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,40,100,9.523809432983398,0,0,0,5.263157844543457,95,0,85.71428680419922,37334.31024169922,120778.70446777344,80986.43505859375,4224.5809326171875,33403068416,8589930496,6272540672,0
200,1759429810224,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,28.571430206298828,0,0,0,0,0,0,0,0,37334.60333251953,120780.12921142578,80987.56787109375,4224.5809326171875,33403068416,8589930496,6272540672,0
200,1759429810424,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,37334.87225341797,120780.6044921875,80987.7886352539,4224.585266113281,33403068416,8589930496,6272540672,0
