__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_0_repetition_0,DONE,DaCapo,Serial,Light,openjdk,1761248455390.0,1.56577,SUCCESS,1
run_1_repetition_0,DONE,DaCapo,Serial,Light,oracle,1761248589497.0,1.33251,SUCCESS,1
run_2_repetition_0,DONE,DaCapo,Serial,Medium,openjdk,1761248724516.0,2.35356,SUCCESS,1
run_3_repetition_0,DONE,DaCapo,Serial,Medium,oracle,1761248859594.0,2.36635,SUCCESS,1
run_4_repetition_0,DONE,DaCapo,Serial,Heavy,openjdk,1761249000307.0,8.10438,SUCCESS,1
run_5_repetition_0,DONE,DaCapo,Serial,Heavy,oracle,1761249141067.0,8.1468,SUCCESS,1
run_6_repetition_0,DONE,DaCapo,Parallel,Light,openjdk,1761249274999.0,1.3334,SUCCESS,1
run_7_repetition_0,DONE,DaCapo,Parallel,Light,oracle,1761249408948.0,1.3164,SUCCESS,1
run_8_repetition_0,DONE,DaCapo,Parallel,Medium,openjdk,1761249544013.0,2.33734,SUCCESS,1
run_9_repetition_0,DONE,DaCapo,Parallel,Medium,oracle,1761249679102.0,2.36289,SUCCESS,1
run_10_repetition_0,DONE,DaCapo,Parallel,Heavy,openjdk,1761249819918.0,8.17797,SUCCESS,1
run_11_repetition_0,DONE,DaCapo,Parallel,Heavy,oracle,1761249960847.0,8.16058,SUCCESS,1
run_12_repetition_0,DONE,DaCapo,G1,Light,openjdk,1761250094894.0,1.35186,SUCCESS,1
run_13_repetition_0,DONE,DaCapo,G1,Light,oracle,1761250228886.0,1.35548,SUCCESS,1
run_14_repetition_0,DONE,DaCapo,G1,Medium,openjdk,1761250363819.0,2.29231,SUCCESS,1
run_15_repetition_0,DONE,DaCapo,G1,Medium,oracle,1761250498750.0,2.36626,SUCCESS,1
run_16_repetition_0,DONE,DaCapo,G1,Heavy,openjdk,1761250639670.0,8.33581,SUCCESS,1
run_17_repetition_0,DONE,DaCapo,G1,Heavy,oracle,1761250780492.0,8.09438,SUCCESS,1
run_18_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,openjdk,1761250913648.0,0.529943,SUCCESS,1
run_19_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,oracle,1761251036653.0,0.560669,SUCCESS,1
run_20_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,openjdk,1761251159835.0,0.746355,SUCCESS,1
run_21_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,oracle,1761251282920.0,0.714104,SUCCESS,1
run_22_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,openjdk,1761251406576.0,0.951352,SUCCESS,1
run_23_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,oracle,1761251530237.0,0.922593,SUCCESS,1
run_24_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,openjdk,1761251653450.0,0.548492,SUCCESS,1
run_25_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,oracle,1761251776624.0,0.525364,SUCCESS,1
run_26_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,openjdk,1761251899870.0,0.758683,SUCCESS,1
run_27_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,oracle,1761252023166.0,0.771543,SUCCESS,1
run_28_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,openjdk,1761252146678.0,0.937393,SUCCESS,1
run_29_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,oracle,1761252280198.0,0.945282,SUCCESS,1
run_30_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,openjdk,1761252413379.0,0.555668,SUCCESS,1
run_31_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,oracle,1761252536618.0,0.582346,SUCCESS,1
