__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_0_repetition_0,DONE,DaCapo,Serial,Light,openjdk,1761082800543.0,1.50771,SUCCESS,1
run_1_repetition_0,DONE,DaCapo,Serial,Light,oracle,1761083038485.0,1.48372,SUCCESS,1
run_2_repetition_0,DONE,DaCapo,Serial,Medium,openjdk,1761083213205.0,2.32317,SUCCESS,1
run_3_repetition_0,DONE,DaCapo,Serial,Medium,oracle,1761083397876.0,2.29655,SUCCESS,1
run_4_repetition_0,DONE,DaCapo,Serial,Heavy,openjdk,1761083538584.0,8.13233,SUCCESS,1
run_5_repetition_0,DONE,DaCapo,Serial,Heavy,oracle,1761083679146.0,8.13342,SUCCESS,1
run_6_repetition_0,DONE,DaCapo,Parallel,Light,openjdk,1761083812997.0,1.34467,SUCCESS,1
run_7_repetition_0,DONE,DaCapo,Parallel,Light,oracle,1761083946852.0,1.32663,SUCCESS,1
run_8_repetition_0,DONE,DaCapo,Parallel,Medium,openjdk,1761084081723.0,2.33574,SUCCESS,1
run_9_repetition_0,DONE,DaCapo,Parallel,Medium,oracle,1761084216643.0,2.3397,SUCCESS,1
run_10_repetition_0,DONE,DaCapo,Parallel,Heavy,openjdk,1761084357375.0,8.12581,SUCCESS,1
run_11_repetition_0,DONE,DaCapo,Parallel,Heavy,oracle,1761084498048.0,8.14453,SUCCESS,1
run_12_repetition_0,DONE,DaCapo,G1,Light,openjdk,1761084632068.0,1.30204,SUCCESS,1
run_13_repetition_0,DONE,DaCapo,G1,Light,oracle,1761084765743.0,1.3174,SUCCESS,1
run_14_repetition_0,DONE,DaCapo,G1,Medium,openjdk,1761084900439.0,2.30512,SUCCESS,1
run_15_repetition_0,DONE,DaCapo,G1,Medium,oracle,1761085035322.0,2.31874,SUCCESS,1
run_16_repetition_0,DONE,DaCapo,G1,Heavy,openjdk,1761085176192.0,8.30064,SUCCESS,1
run_17_repetition_0,DONE,DaCapo,G1,Heavy,oracle,1761085317090.0,8.34974,SUCCESS,1
run_18_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,openjdk,1761085450136.0,0.531941,SUCCESS,1
run_19_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,oracle,1761085573253.0,0.494843,SUCCESS,1
run_20_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,openjdk,1761085696410.0,0.723222,SUCCESS,1
run_21_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,oracle,1761085829616.0,0.738882,SUCCESS,1
run_22_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,openjdk,1761085952753.0,0.881846,SUCCESS,1
run_23_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,oracle,1761086075972.0,0.93361,SUCCESS,1
run_24_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,openjdk,1761086208975.0,0.527953,SUCCESS,1
run_25_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,oracle,1761086332014.0,0.540528,SUCCESS,1
run_26_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,openjdk,1761086455205.0,0.712934,SUCCESS,1
run_27_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,oracle,1761086578460.0,0.722335,SUCCESS,1
run_28_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,openjdk,1761086711835.0,0.895255,SUCCESS,1
run_29_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,oracle,1761086835013.0,0.887167,SUCCESS,1
run_30_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,openjdk,1761086957883.0,0.527736,SUCCESS,1
