run_id,subject,gc,workload,jdk,energy_j,runtime_s
run_1,PetClinic,Serial,2min,openjdk,509.416543,120.02
run_2,PetClinic,Serial,3min,openjdk,624.306141,180.01
run_3,PetClinic,Serial,5min,openjdk,876.327835,300.01
run_4,PetClinic,Serial,2min,oracle,512.611603,120.01
run_5,PetClinic,Serial,3min,oracle,626.06163,180.01
run_6,PetClinic,Serial,5min,oracle,879.048958,300.01
run_7,PetClinic,Parallel,2min,openjdk,503.665031,120.01
run_8,PetClinic,Parallel,3min,openjdk,608.126312,180.01
run_9,PetClinic,Parallel,5min,openjdk,853.17726,300.01
run_10,PetClinic,Parallel,2min,oracle,486.410315,120.01
run_11,PetClinic,Parallel,3min,oracle,633.044766,180.01
run_12,PetClinic,Parallel,5min,oracle,874.268209,300.01
run_13,PetClinic,G1,2min,openjdk,495.683545,120.01
run_14,PetClinic,G1,3min,openjdk,647.828298,180.01
run_15,PetClinic,G1,5min,openjdk,1307.413645,300.01
run_16,PetClinic,G1,2min,oracle,493.23061,120.01
run_17,PetClinic,G1,3min,oracle,610.080775,180.01
run_18,PetClinic,G1,5min,oracle,903.03614,300.01
run_19,TodoApp,Serial,2min,openjdk,404.733949,120.01
run_20,TodoApp,Serial,3min,openjdk,536.771025,180.01
run_21,TodoApp,Serial,5min,openjdk,785.848757,300.01
run_22,TodoApp,Serial,2min,oracle,406.999447,120.01
run_23,TodoApp,Serial,3min,oracle,548.84851,180.01
run_24,TodoApp,Serial,5min,oracle,776.085537,300.01
run_25,TodoApp,Parallel,2min,openjdk,410.88408,120.01
run_26,TodoApp,Parallel,3min,openjdk,537.209989,180.01
run_27,TodoApp,Parallel,5min,openjdk,782.682139,300.01
run_28,TodoApp,Parallel,2min,oracle,401.551828,120.01
run_29,TodoApp,Parallel,3min,oracle,528.017752,180.01
run_30,TodoApp,Parallel,5min,oracle,782.225292,300.01
run_31,TodoApp,G1,2min,openjdk,413.662821,120.01
run_32,TodoApp,G1,3min,openjdk,546.331487,180.01
run_33,TodoApp,G1,5min,openjdk,800.550929,300.01
run_34,TodoApp,G1,2min,oracle,412.209272,120.01
run_35,TodoApp,G1,3min,oracle,540.227682,180.01
run_36,TodoApp,G1,5min,oracle,791.871936,300.01
run_37,ANDIE,Serial,2min,openjdk,274.642791,120.01
run_38,ANDIE,Serial,3min,openjdk,393.710418,180.01
run_39,ANDIE,Serial,5min,openjdk,645.175472,300.01
run_40,ANDIE,Serial,2min,oracle,275.275174,120.01
run_41,ANDIE,Serial,3min,oracle,393.964446,180.01
run_42,ANDIE,Serial,5min,oracle,645.086789,300.01
run_43,ANDIE,Parallel,2min,openjdk,279.513261,120.01
run_44,ANDIE,Parallel,3min,openjdk,394.353971,180.01
run_45,ANDIE,Parallel,5min,openjdk,692.097349,300.01
run_46,ANDIE,Parallel,2min,oracle,1576.841728,120.0
run_47,ANDIE,Parallel,3min,oracle,2371.260775,180.01
run_48,ANDIE,Parallel,5min,oracle,3885.127933,300.01
run_49,ANDIE,G1,2min,openjdk,1574.121702,120.01
run_50,ANDIE,G1,3min,openjdk,2373.18289,180.01
run_51,ANDIE,G1,5min,openjdk,3821.583173,300.01
run_52,ANDIE,G1,2min,oracle,1573.56549,120.01
run_53,ANDIE,G1,3min,oracle,2386.485956,180.01
run_54,ANDIE,G1,5min,oracle,3958.655576,300.01
