run_id,subject,gc,workload,jdk,energy_j,runtime_s
run_1,PetClinic,Serial,2min,openjdk,1459.348498,120.01
run_2,PetClinic,Serial,3min,openjdk,2592.737503,180.01
run_3,PetClinic,Serial,5min,openjdk,3645.815435,300.01
run_4,PetClinic,Serial,2min,oracle,1537.460908,120.0
run_5,PetClinic,Serial,3min,oracle,2612.767298,180.0
run_6,PetClinic,Serial,5min,oracle,3504.901183,300.01
run_7,PetClinic,Parallel,2min,openjdk,1400.501481,120.03
run_8,PetClinic,Parallel,3min,openjdk,1784.892525,180.01
run_9,PetClinic,Parallel,5min,openjdk,2555.219594,300.01
run_10,PetClinic,Parallel,2min,oracle,1172.965625,120.04
run_11,PetClinic,Parallel,3min,oracle,1739.742494,180.03
run_12,PetClinic,Parallel,5min,oracle,2582.054974,300.01
run_13,PetClinic,G1,2min,openjdk,1290.432671,120.0
run_14,PetClinic,G1,3min,openjdk,1605.882059,180.03
run_15,PetClinic,G1,5min,openjdk,2507.639882,300.01
run_16,PetClinic,G1,2min,oracle,1174.636214,120.01
run_17,PetClinic,G1,3min,oracle,1684.474753,180.04
run_18,PetClinic,G1,5min,oracle,2685.062096,300.04
run_19,TodoApp,Serial,2min,openjdk,1056.623271,120.03
run_20,TodoApp,Serial,3min,openjdk,1591.247513,180.01
run_21,TodoApp,Serial,5min,openjdk,2532.75316,300.01
run_22,TodoApp,Serial,2min,oracle,1220.915697,120.01
run_23,TodoApp,Serial,3min,oracle,1508.063278,180.01
run_24,TodoApp,Serial,5min,oracle,2596.46546,300.04
run_25,TodoApp,Parallel,2min,openjdk,1061.056549,120.01
run_26,TodoApp,Parallel,3min,openjdk,1602.196277,180.03
run_27,TodoApp,Parallel,5min,openjdk,2494.81417,300.01
run_28,TodoApp,Parallel,2min,oracle,1078.565049,120.04
run_29,TodoApp,Parallel,3min,oracle,1591.925795,180.01
run_30,TodoApp,Parallel,5min,oracle,2873.542753,300.01
run_31,TodoApp,G1,2min,openjdk,1103.947797,120.01
run_32,TodoApp,G1,3min,openjdk,1561.901031,180.01
run_33,TodoApp,G1,5min,openjdk,2587.378875,300.0
run_34,TodoApp,G1,2min,oracle,1972.73439,120.01
run_35,TodoApp,G1,3min,oracle,2130.274575,180.0
run_36,TodoApp,G1,5min,oracle,3704.661903,300.01
run_37,ANDIE,Serial,2min,openjdk,2071.583137,120.0
run_38,ANDIE,Serial,3min,openjdk,2434.814201,180.01
run_39,ANDIE,Serial,5min,openjdk,666.201664,300.04
run_40,ANDIE,Serial,2min,oracle,283.313606,120.01
run_41,ANDIE,Serial,3min,oracle,408.594169,180.01
run_42,ANDIE,Serial,5min,oracle,664.899542,300.01
run_43,ANDIE,Parallel,2min,openjdk,277.834127,120.01
run_44,ANDIE,Parallel,3min,openjdk,400.982249,180.01
run_45,ANDIE,Parallel,5min,openjdk,655.71402,300.01
run_46,ANDIE,Parallel,2min,oracle,277.946127,120.01
run_47,ANDIE,Parallel,3min,oracle,402.050607,180.01
run_48,ANDIE,Parallel,5min,oracle,665.707219,300.01
run_49,ANDIE,G1,2min,openjdk,280.07814,120.01
run_50,ANDIE,G1,3min,openjdk,404.957277,180.01
run_51,ANDIE,G1,5min,openjdk,652.232034,300.01
run_52,ANDIE,G1,2min,oracle,278.336384,120.01
run_53,ANDIE,G1,3min,oracle,404.728029,180.01
run_54,ANDIE,G1,5min,oracle,673.105332,300.01
