__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_0_repetition_0,DONE,DaCapo,Serial,Light,openjdk,,,FAILED,1
run_1_repetition_0,DONE,DaCapo,Serial,Light,oracle,,,FAILED,1
run_2_repetition_0,DONE,DaCapo,Serial,Medium,openjdk,,,FAILED,1
run_3_repetition_0,DONE,DaCapo,Serial,Medium,oracle,,,FAILED,1
run_4_repetition_0,DONE,DaCapo,Serial,Heavy,openjdk,,,FAILED,1
run_5_repetition_0,DONE,DaCapo,Serial,Heavy,oracle,,,FAILED,1
run_6_repetition_0,DONE,DaCapo,Parallel,Light,openjdk,,,FAILED,1
run_7_repetition_0,DONE,DaCapo,Parallel,Light,oracle,,,FAILED,1
run_8_repetition_0,DONE,DaCapo,Parallel,Medium,openjdk,,,FAILED,1
run_9_repetition_0,DONE,DaCapo,Parallel,Medium,oracle,,,FAILED,1
run_10_repetition_0,DONE,DaCapo,Parallel,Heavy,openjdk,,,FAILED,1
run_11_repetition_0,DONE,DaCapo,Parallel,Heavy,oracle,,,FAILED,1
run_12_repetition_0,DONE,DaCapo,G1,Light,openjdk,,,FAILED,1
run_13_repetition_0,DONE,DaCapo,G1,Light,oracle,,,FAILED,1
run_14_repetition_0,DONE,DaCapo,G1,Medium,openjdk,,,FAILED,1
run_15_repetition_0,DONE,DaCapo,G1,Medium,oracle,,,FAILED,1
run_16_repetition_0,DONE,DaCapo,G1,Heavy,openjdk,1760630527977.0,8.3648,SUCCESS,1
run_17_repetition_0,DONE,DaCapo,G1,Heavy,oracle,1760630688583.0,8.18509,SUCCESS,1
run_18_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,openjdk,1760630841744.0,0.530393,SUCCESS,1
run_19_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,oracle,1760630964828.0,0.555524,SUCCESS,1
run_20_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,openjdk,1760631088097.0,0.766545,SUCCESS,1
run_21_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,oracle,1760631241389.0,0.761846,SUCCESS,1
run_22_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,openjdk,1760631364949.0,0.902539,SUCCESS,1
run_23_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,oracle,1760631488365.0,0.958337,SUCCESS,1
run_24_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,openjdk,1760631641251.0,0.533369,SUCCESS,1
run_25_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,oracle,1760631764425.0,0.571983,SUCCESS,1
run_26_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,openjdk,1760631887745.0,0.762937,SUCCESS,1
run_27_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,oracle,1760632041033.0,0.754687,SUCCESS,1
run_28_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,openjdk,1760632164531.0,0.903002,SUCCESS,1
run_29_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,oracle,1760632287918.0,0.928439,SUCCESS,1
run_30_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,openjdk,1760632411028.0,0.553626,SUCCESS,1
run_31_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,oracle,1760632534167.0,0.558048,SUCCESS,1
run_32_repetition_0,DONE,CLBG-BinaryTrees,G1,Medium,openjdk,1760632657087.0,0.503351,SUCCESS,1
