__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_0_repetition_0,DONE,DaCapo,Serial,Light,openjdk,1761183022115.0,1.33615,SUCCESS,1
run_1_repetition_0,DONE,DaCapo,Serial,Light,oracle,1761183155996.0,1.29993,SUCCESS,1
run_2_repetition_0,DONE,DaCapo,Serial,Medium,openjdk,1761183290880.0,2.35108,SUCCESS,1
run_3_repetition_0,DONE,DaCapo,Serial,Medium,oracle,1761183425886.0,2.33414,SUCCESS,1
run_4_repetition_0,DONE,DaCapo,Serial,Heavy,openjdk,1761183566552.0,8.12116,SUCCESS,1
run_5_repetition_0,DONE,DaCapo,Serial,Heavy,oracle,1761183707292.0,8.17536,SUCCESS,1
run_6_repetition_0,DONE,DaCapo,Parallel,Light,openjdk,1761183841164.0,1.33083,SUCCESS,1
run_7_repetition_0,DONE,DaCapo,Parallel,Light,oracle,1761183975435.0,1.52362,SUCCESS,1
run_8_repetition_0,DONE,DaCapo,Parallel,Medium,openjdk,1761184110176.0,2.28541,SUCCESS,1
run_9_repetition_0,DONE,DaCapo,Parallel,Medium,oracle,1761184245064.0,2.34642,SUCCESS,1
run_10_repetition_0,DONE,DaCapo,Parallel,Heavy,openjdk,1761184385700.0,8.10171,SUCCESS,1
run_11_repetition_0,DONE,DaCapo,Parallel,Heavy,oracle,1761184526323.0,8.14471,SUCCESS,1
run_12_repetition_0,DONE,DaCapo,G1,Light,openjdk,1761184660121.0,1.29301,SUCCESS,1
run_13_repetition_0,DONE,DaCapo,G1,Light,oracle,1761184794036.0,1.32074,SUCCESS,1
run_14_repetition_0,DONE,DaCapo,G1,Medium,openjdk,1761184919036.0,2.34215,SUCCESS,1
run_15_repetition_0,DONE,DaCapo,G1,Medium,oracle,1761185053979.0,2.33491,SUCCESS,1
run_16_repetition_0,DONE,DaCapo,G1,Heavy,openjdk,1761185194953.0,8.33491,SUCCESS,1
run_17_repetition_0,DONE,DaCapo,G1,Heavy,oracle,1761185335705.0,8.15004,SUCCESS,1
run_18_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,openjdk,1761185468815.0,0.534862,SUCCESS,1
run_19_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,oracle,1761185591944.0,0.54059,SUCCESS,1
run_20_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,openjdk,1761185715076.0,0.707302,SUCCESS,1
run_21_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,oracle,1761185838305.0,0.693171,SUCCESS,1
run_22_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,openjdk,1761185961901.0,0.91052,SUCCESS,1
run_23_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,oracle,1761186085192.0,0.875392,SUCCESS,1
run_24_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,openjdk,1761186218299.0,0.501869,SUCCESS,1
run_25_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Light,oracle,1761186341456.0,0.518112,SUCCESS,1
run_26_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,openjdk,1761186464826.0,0.701505,SUCCESS,1
run_27_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Medium,oracle,1761186588072.0,0.713993,SUCCESS,1
run_28_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,openjdk,1761186711447.0,0.920448,SUCCESS,1
run_29_repetition_0,DONE,CLBG-BinaryTrees,Parallel,Heavy,oracle,1761186834664.0,0.881378,SUCCESS,1
run_30_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,openjdk,1761186957527.0,0.536122,SUCCESS,1
run_31_repetition_0,DONE,CLBG-BinaryTrees,G1,Light,oracle,1761187080621.0,0.53401,SUCCESS,1
run_32_repetition_0,DONE,CLBG-BinaryTrees,G1,Medium,openjdk,1761187203733.0,0.520778,SUCCESS,1
run_33_repetition_0,DONE,CLBG-BinaryTrees,G1,Medium,oracle,1761187327024.0,0.73695,SUCCESS,1
run_34_repetition_0,DONE,CLBG-BinaryTrees,G1,Heavy,openjdk,1761187450722.0,1.09455,SUCCESS,1
run_35_repetition_0,DONE,CLBG-BinaryTrees,G1,Heavy,oracle,1761187574473.0,1.14564,SUCCESS,1
run_36_repetition_0,DONE,CLBG-Fannkuch,Serial,Light,openjdk,1761187697557.0,0.537769,SUCCESS,1
run_37_repetition_0,DONE,CLBG-Fannkuch,Serial,Light,oracle,1761187820485.0,0.503846,SUCCESS,1
run_38_repetition_0,DONE,CLBG-Fannkuch,Serial,Medium,openjdk,1761187943802.0,0.936506,SUCCESS,1
run_39_repetition_0,DONE,CLBG-Fannkuch,Serial,Medium,oracle,1761188077170.0,0.729081,SUCCESS,1
run_40_repetition_0,DONE,CLBG-Fannkuch,Serial,Heavy,openjdk,1761188214449.0,4.68894,SUCCESS,1
run_41_repetition_0,DONE,CLBG-Fannkuch,Serial,Heavy,oracle,1761188351837.0,4.74709,SUCCESS,1
run_42_repetition_0,DONE,CLBG-Fannkuch,Parallel,Light,openjdk,1761188484978.0,0.500041,SUCCESS,1
run_43_repetition_0,DONE,CLBG-Fannkuch,Parallel,Light,oracle,1761188608051.0,0.560833,SUCCESS,1
run_44_repetition_0,DONE,CLBG-Fannkuch,Parallel,Medium,openjdk,1761188731437.0,0.759077,SUCCESS,1
run_45_repetition_0,DONE,CLBG-Fannkuch,Parallel,Medium,oracle,1761188854811.0,0.693858,SUCCESS,1
run_46_repetition_0,DONE,CLBG-Fannkuch,Parallel,Heavy,openjdk,1761188981994.0,4.71606,SUCCESS,1
run_47_repetition_0,DONE,CLBG-Fannkuch,Parallel,Heavy,oracle,1761189119338.0,4.73971,SUCCESS,1
run_48_repetition_0,DONE,CLBG-Fannkuch,G1,Light,openjdk,1761189252248.0,0.495896,SUCCESS,1
run_49_repetition_0,DONE,CLBG-Fannkuch,G1,Light,oracle,1761189375287.0,0.548671,SUCCESS,1
run_50_repetition_0,DONE,CLBG-Fannkuch,G1,Medium,openjdk,1761189498792.0,0.952142,SUCCESS,1
run_51_repetition_0,DONE,CLBG-Fannkuch,G1,Medium,oracle,1761189632098.0,0.915359,SUCCESS,1
run_52_repetition_0,DONE,CLBG-Fannkuch,G1,Heavy,openjdk,1761189769603.0,4.94449,SUCCESS,1
run_53_repetition_0,DONE,CLBG-Fannkuch,G1,Heavy,oracle,1761189907113.0,4.91533,SUCCESS,1
run_54_repetition_0,DONE,CLBG-NBody,Serial,Light,openjdk,1761190040565.0,0.934201,SUCCESS,1
run_55_repetition_0,DONE,CLBG-NBody,Serial,Light,oracle,1761190163803.0,0.735094,SUCCESS,1
run_56_repetition_0,DONE,CLBG-NBody,Serial,Medium,openjdk,1761190288490.0,2.15711,SUCCESS,1
run_57_repetition_0,DONE,CLBG-NBody,Serial,Medium,oracle,1761190423274.0,2.31325,SUCCESS,1
run_58_repetition_0,DONE,CLBG-NBody,Serial,Heavy,openjdk,1761190559707.0,3.72246,SUCCESS,1
run_59_repetition_0,DONE,CLBG-NBody,Serial,Heavy,oracle,1761190696209.0,3.89031,SUCCESS,1
run_60_repetition_0,DONE,CLBG-NBody,Parallel,Light,openjdk,1761190829517.0,0.731071,SUCCESS,1
run_61_repetition_0,DONE,CLBG-NBody,Parallel,Light,oracle,1761190962923.0,0.738199,SUCCESS,1
run_62_repetition_0,DONE,CLBG-NBody,Parallel,Medium,openjdk,1761191087482.0,2.11228,SUCCESS,1
run_63_repetition_0,DONE,CLBG-NBody,Parallel,Medium,oracle,1761191222133.0,2.13147,SUCCESS,1
run_64_repetition_0,DONE,CLBG-NBody,Parallel,Heavy,openjdk,1761191358478.0,3.73554,SUCCESS,1
run_65_repetition_0,DONE,CLBG-NBody,Parallel,Heavy,oracle,1761191495067.0,3.94372,SUCCESS,1
run_66_repetition_0,DONE,CLBG-NBody,G1,Light,openjdk,1761191628304.0,0.691961,SUCCESS,1
run_67_repetition_0,DONE,CLBG-NBody,G1,Light,oracle,1761191761506.0,0.703361,SUCCESS,1
run_68_repetition_0,DONE,CLBG-NBody,G1,Medium,openjdk,1761191886275.0,2.14558,SUCCESS,1
run_69_repetition_0,DONE,CLBG-NBody,G1,Medium,oracle,1761192020817.0,2.13043,SUCCESS,1
run_70_repetition_0,DONE,CLBG-NBody,G1,Heavy,openjdk,1761192157043.0,3.69115,SUCCESS,1
run_71_repetition_0,DONE,CLBG-NBody,G1,Heavy,oracle,1761192293421.0,3.9337,SUCCESS,1
run_72_repetition_0,DONE,Rosetta,Serial,Light,openjdk,1761192426510.0,0.557698,SUCCESS,1
run_73_repetition_0,DONE,Rosetta,Serial,Light,oracle,1761192549648.0,0.532545,SUCCESS,1
run_74_repetition_0,DONE,Rosetta,Serial,Medium,openjdk,1761192672624.0,0.496201,SUCCESS,1
run_75_repetition_0,DONE,Rosetta,Serial,Medium,oracle,1761192795637.0,0.499629,SUCCESS,1
run_76_repetition_0,DONE,Rosetta,Serial,Heavy,openjdk,1761192918761.0,0.529325,SUCCESS,1
run_77_repetition_0,DONE,Rosetta,Serial,Heavy,oracle,1761193041831.0,0.481169,SUCCESS,1
run_78_repetition_0,DONE,Rosetta,Parallel,Light,openjdk,1761193164905.0,0.525291,SUCCESS,1
run_79_repetition_0,DONE,Rosetta,Parallel,Light,oracle,1761193287905.0,0.531651,SUCCESS,1
run_80_repetition_0,DONE,Rosetta,Parallel,Medium,openjdk,1761193410808.0,0.492702,SUCCESS,1
run_81_repetition_0,DONE,Rosetta,Parallel,Medium,oracle,1761193533631.0,0.509622,SUCCESS,1
run_82_repetition_0,DONE,Rosetta,Parallel,Heavy,openjdk,1761193656503.0,0.517863,SUCCESS,1
run_83_repetition_0,DONE,Rosetta,Parallel,Heavy,oracle,1761193779714.0,0.501957,SUCCESS,1
run_84_repetition_0,DONE,Rosetta,G1,Light,openjdk,1761193902842.0,0.529586,SUCCESS,1
run_85_repetition_0,DONE,Rosetta,G1,Light,oracle,1761194025994.0,0.537501,SUCCESS,1
run_86_repetition_0,DONE,Rosetta,G1,Medium,openjdk,1761194149042.0,0.511723,SUCCESS,1
run_87_repetition_0,DONE,Rosetta,G1,Medium,oracle,1761194272207.0,0.541549,SUCCESS,1
run_88_repetition_0,DONE,Rosetta,G1,Heavy,openjdk,1761194395394.0,0.515538,SUCCESS,1
run_89_repetition_0,DONE,Rosetta,G1,Heavy,oracle,1761194518285.0,0.491215,SUCCESS,1
