entry_id,run_id,subject,gc,workload,jdk,energy_j,runtime_s,batch_source,throughput_idx,workload_k,throughput,energy_per_op,power_w,edp,nee,power_mean,power_ratio,cop,throughput_scaled,is_frontier,eff_index
0,run_17,PetClinic,G1,Medium,oracle,582.802219,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,194.26740633333333,3.2376102383200935,104910.22744219001,1.294359011905106,3.2376102383200935,0.5573336824840994,0.3088697917260332,0.016665740792178214,False,5.5
1,run_20,TodoApp,Serial,Medium,openjdk,536.771025,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,178.923675,2.9818955891339374,96624.15221025,1.4403273610411231,2.9818955891339374,0.6757559631296736,0.3353571478639332,0.016665740792178214,False,8.9
2,run_54,ANDIE,G1,Heavy,oracle,3958.655576,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,791.7311152,13.19507875070831,1187636.25935576,16.62365749084535,13.19507875070831,4.045265518220273,0.07578583037606502,0.016666111129629013,False,21.6
3,run_25,TodoApp,Parallel,Light,openjdk,410.88408,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,410.88408,3.4237486876093657,49310.1984408,1.1025326537329576,3.4237486876093657,0.7758885322277131,0.2920775124701838,0.008332638946754437,False,10.2
4,run_18,PetClinic,G1,Heavy,oracle,887.904038,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,177.5808076,2.9595814739508683,266380.09044038,1.9719667424468637,2.9595814739508683,0.509472827200047,0.3378856128143884,0.016666111129629013,False,14.4
5,run_4,PetClinic,Serial,Light,oracle,512.611603,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,512.611603,4.271407407716023,61518.518476029996,1.1384710392637891,4.271407407716023,0.7352951852436257,0.2341148723471248,0.008332638946754437,False,16.0
6,run_36,TodoApp,G1,Heavy,oracle,791.871936,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,158.3743872,2.6394851371620947,237569.49951936,2.1248442310413553,2.6394851371620947,0.5981590460541487,0.378861765849977,0.016666111129629013,False,12.1
7,run_11,PetClinic,Parallel,Medium,oracle,653.347082,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,217.78236066666668,3.6295043719793347,117609.00823081999,1.4510337399532176,3.6295043719793347,0.6247957253424612,0.2755197122009952,0.016665740792178214,False,15.9
8,run_46,ANDIE,Parallel,Light,oracle,1576.841728,120.0,service_apps,0.008333333333333333,1,0.0083333333333333,1576.841728,13.140347733333334,189221.00736000002,6.621661394960602,13.140347733333334,4.028486421896029,0.07610148683229163,0.008333333333333333,True,18.7
9,run_33,TodoApp,G1,Heavy,openjdk,797.286106,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,159.4572212,2.6575317689410354,239193.80466105998,2.1393721709358906,2.6575317689410354,0.6022487663929372,0.3762890106102012,0.016666111129629013,False,14.5
10,run_13,PetClinic,G1,Light,openjdk,518.398453,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,518.398453,4.31962713940505,62212.99834453,1.1513231891078568,4.31962713940505,0.7435959004787569,0.23150146244745834,0.008332638946754437,False,16.8
